Marital status,Course,Previous qualification,Mother's qualification,Father's qualification,Displaced,Educational special needs,Gender,Age at enrollment,International,Target
Single,Animation and Multimedia Design,Secondary education,Basic education 3rd cycle,Other 11th year schooling,Yes,No,Male,20,No,Dropout
Single,Tourism,Secondary education,Secondary education,Higher education - degree,Yes,No,Male,19,No,Graduate
Single,Communication Design,Secondary education,Basic education 1st cycle,Basic education 1st cycle,Yes,No,Male,19,No,Dropout
Single,Journalism and Communication,Secondary education,Basic education 2nd cycle,Basic education 1st cycle,Yes,No,Female,20,No,Graduate
Married,Social Service Evening Program,Secondary education,Basic education 1st cycle,Basic education 2nd cycle,No,No,Female,45,No,Graduate
Married,Management Evening Program,Basic education 3rd cycle,Basic education 1st cycle,Basic education 1st cycle,No,No,Male,50,No,Graduate
Single,Nursing,Secondary education,Basic education 3rd cycle,Basic education 2nd cycle,Yes,No,Female,18,No,Graduate
Single,Tourism,Secondary education,Basic education 1st cycle,Basic education 1st cycle,Yes,No,Male,22,No,Dropout
Single,Social Service,Secondary education,Secondary education,Secondary education,No,No,Female,21,Yes,Graduate
Single,Social Service,Secondary education,Secondary education,Basic education 3rd cycle,Yes,No,Female,18,No,Dropout
Single,Advertising and Marketing Management,Secondary education,Basic education 2nd cycle,Basic education 3rd cycle,Yes,No,Female,18,No,Graduate
Single,Nursing,Secondary education,Basic education 3rd cycle,Basic education 2nd cycle,Yes,No,Female,18,No,Graduate
Single,Basic Education,Secondary education,Basic education 3rd cycle,Basic education 1st cycle,Yes,No,Female,19,No,Dropout
Single,Tourism,Professional higher technical course,Secondary education,Secondary education,Yes,No,Female,21,No,Graduate
Single,Veterinary Nursing,Secondary education,Basic education 2nd cycle,Basic education 1st cycle,Yes,No,Female,18,No,Graduate
Single,Journalism and Communication,Secondary education,Basic education 3rd cycle,Basic education 1st cycle,Yes,No,Female,20,No,Dropout
Single,Nursing,Secondary education,Basic education 3rd cycle,Secondary education,Yes,No,Female,18,No,Graduate
Single,Equinculture,Secondary education,Higher education - degree,Basic education 3rd cycle,Yes,No,Female,20,No,Graduate
Single,Animation and Multimedia Design,Secondary education,Secondary education,Secondary education,No,No,Female,21,No,Graduate
Single,Nursing,Secondary education,Basic education 3rd cycle,Basic education 3rd cycle,Yes,No,Female,18,No,Graduate
Single,Advertising and Marketing Management,Secondary education,Secondary education,Basic education 2nd cycle,Yes,No,Female,19,No,Graduate
Single,Nursing,Secondary education,Basic education 3rd cycle,Basic education 3rd cycle,No,No,Female,19,No,Graduate
Single,Social Service,Secondary education,Basic education 3rd cycle,Basic education 2nd cycle,Yes,No,Female,21,No,Graduate
Single,Management,Secondary education,Basic education 3rd cycle,Secondary education,Yes,No,Female,20,No,Graduate
Single,Communication Design,Secondary education,Professional higher technical course,Higher education - degree,Yes,No,Male,20,No,Graduate
Single,Social Service Evening Program,Secondary education,Basic education 3rd cycle,Secondary education,Yes,No,Female,19,No,Graduate
Single,Management Evening Program,Secondary education,Higher education - bachelor's degree,Basic education 1st cycle,No,No,Male,34,No,Graduate
Single,Biofuel Production Technologies,Secondary education,Basic education 2nd cycle,Basic education 1st cycle,No,No,Male,37,No,Dropout
Single,Computer Science,11th year of schooling not completed,Unknown education level,Basic education 1st cycle,Yes,No,Male,43,No,Dropout
Single,Management,Secondary education,Basic education 1st cycle,Basic education 1st cycle,No,No,Female,55,No,Dropout
Divorced,Management Evening Program,Secondary education,Basic education 3rd cycle,Basic education 3rd cycle,Yes,No,Female,39,No,Graduate
Single,Equinculture,Technological specialization course,Higher education - master's degree,Higher education - master's degree,No,No,Female,20,Yes,Dropout
Single,Journalism and Communication,Secondary education,Higher education - degree,Higher education - degree,No,No,Female,18,No,Dropout
Single,Management,Secondary education,Higher education - degree,Basic education 3rd cycle,Yes,No,Female,22,No,Graduate
Single,Nursing,Secondary education,Secondary education,Higher education - degree,Yes,Yes,Female,22,No,Graduate
Single,Journalism and Communication,Secondary education,Secondary education,Basic education 2nd cycle,No,No,Female,20,No,Dropout
Single,Management Evening Program,Secondary education,Basic education 1st cycle,Basic education 1st cycle,No,No,Female,29,No,Dropout
Single,Social Service,Secondary education,Basic education 3rd cycle,Basic education 3rd cycle,Yes,No,Female,18,No,Graduate
Single,Nursing,Secondary education,Basic education 1st cycle,Basic education 3rd cycle,Yes,No,Female,22,No,Graduate
Single,Social Service Evening Program,Technological specialization course,Secondary education,Basic education 3rd cycle,No,No,Female,21,No,Graduate
Single,Social Service,Secondary education,Basic education 1st cycle,Basic education 2nd cycle,No,No,Female,19,No,Graduate
Single,Tourism,Secondary education,Basic education 3rd cycle,Basic education 2nd cycle,No,No,Female,24,No,Graduate
Single,Equinculture,Secondary education,Basic education 1st cycle,Basic education 1st cycle,No,No,Female,19,No,Graduate
Single,Management Evening Program,Secondary education,Basic education 2nd cycle,Basic education 2nd cycle,No,No,Female,27,No,Dropout
Single,Nursing,Secondary education,Secondary education,Basic education 3rd cycle,Yes,No,Female,18,No,Graduate
Married,Tourism,Higher education - degree,Secondary education,Higher education - degree,No,No,Female,39,No,Dropout
Single,Equinculture,Higher education - degree 1st cycle,Higher education - degree,Higher education - degree,Yes,No,Female,27,No,Dropout
Single,Nursing,Secondary education,Basic education 2nd cycle,Basic education 2nd cycle,Yes,No,Female,18,No,Graduate
Single,Nursing,Secondary education,Basic education 3rd cycle,Basic education 3rd cycle,No,No,Female,18,No,Graduate
Single,Social Service,Technological specialization course,Basic education 3rd cycle,Secondary education,No,No,Female,21,No,Graduate
Divorced,Nursing,Basic education 3rd cycle,Secondary education,Secondary education,Yes,No,Male,29,No,Dropout
Single,Animation and Multimedia Design,Secondary education,Basic education 3rd cycle,Basic education 3rd cycle,Yes,No,Male,19,No,Graduate
Single,Agronomy,Technological specialization course,Basic education 3rd cycle,Basic education 1st cycle,Yes,No,Male,23,No,Graduate
Single,Management,Secondary education,Secondary education,Basic education 2nd cycle,No,No,Male,19,No,Dropout
Single,Nursing,Secondary education,Basic education 1st cycle,Basic education 3rd cycle,No,No,Male,24,No,Graduate
Single,Animation and Multimedia Design,Secondary education,Basic education 3rd cycle,Basic education 3rd cycle,Yes,No,Male,19,No,Dropout
Single,Tourism,Secondary education,Basic education 2nd cycle,Basic education 1st cycle,Yes,No,Male,18,No,Dropout
Single,Journalism and Communication,Secondary education,Basic education 2nd cycle,Basic education 2nd cycle,Yes,No,Male,18,No,Graduate
Single,Management,Secondary education,Basic education 3rd cycle,Basic education 3rd cycle,Yes,No,Male,18,No,Dropout
Single,Tourism,Secondary education,Basic education 3rd cycle,Basic education 1st cycle,Yes,No,Male,21,No,Dropout
Single,Journalism and Communication,Secondary education,Secondary education,Basic education 3rd cycle,Yes,No,Male,19,No,Graduate
Single,Nursing,Secondary education,Basic education 2nd cycle,Basic education 1st cycle,No,No,Male,22,No,Graduate
Married,Social Service Evening Program,Secondary education,Basic education 1st cycle,Basic education 1st cycle,No,No,Male,33,No,Graduate
Single,Basic Education,Secondary education,Basic education 3rd cycle,Basic education 3rd cycle,Yes,No,Male,20,No,Dropout
Single,Management Evening Program,Higher education - bachelor's degree,Higher education - degree,Higher education - degree,Yes,No,Male,35,No,Dropout
Single,Agronomy,Higher education - master's degree,Higher education - degree,Higher education - degree,No,No,Male,24,No,Dropout
Married,Social Service Evening Program,Secondary education,Basic education 1st cycle,Basic education 1st cycle,Yes,No,Female,33,No,Graduate
Single,Nursing,Secondary education,Basic education 1st cycle,Basic education 2nd cycle,Yes,No,Female,22,No,Graduate
Single,Advertising and Marketing Management,Secondary education,Secondary education,Basic education 3rd cycle,No,No,Female,25,No,Graduate
Single,Communication Design,Secondary education,Basic education 3rd cycle,Basic education 2nd cycle,Yes,No,Male,20,No,Graduate
Single,Nursing,Secondary education,Secondary education,Secondary education,No,No,Male,24,No,Dropout
Single,Journalism and Communication,Secondary education,Basic education 3rd cycle,Secondary education,Yes,No,Female,21,Yes,Graduate
Single,Equinculture,Secondary education,Secondary education,Secondary education,No,No,Female,26,Yes,Dropout
Married,Basic Education,11th year of schooling not completed,Basic education 1st cycle,Unknown education level,No,No,Female,39,No,Dropout
Married,Social Service Evening Program,Secondary education,Basic education 1st cycle,Basic education 3rd cycle,No,No,Female,44,No,Graduate
Single,Journalism and Communication,Secondary education,Basic education 1st cycle,Secondary education,Yes,No,Female,18,No,Graduate
Single,Nursing,Secondary education,Basic education 1st cycle,Basic education 1st cycle,Yes,No,Female,18,No,Graduate
Single,Nursing,Secondary education,Higher education - degree,Higher education - degree,Yes,No,Female,19,No,Dropout
Single,Veterinary Nursing,Professional higher technical course,Basic education 2nd cycle,Basic education 2nd cycle,No,No,Female,21,No,Dropout
Single,Animation and Multimedia Design,Secondary education,Secondary education,Secondary education,Yes,No,Female,20,No,Graduate
Married,Social Service Evening Program,Secondary education,Basic education 1st cycle,Basic education 1st cycle,Yes,No,Female,36,No,Dropout
Divorced,Agronomy,Other 11th year schooling,Basic education 1st cycle,Basic education 1st cycle,No,No,Female,43,No,Graduate
Single,Basic Education,Secondary education,Basic education 3rd cycle,Basic education 3rd cycle,Yes,No,Female,19,No,Dropout
Single,Communication Design,Secondary education,Higher education - degree,Secondary education,No,No,Female,20,No,Graduate
Single,Social Service,Secondary education,Basic education 1st cycle,Basic education 2nd cycle,Yes,No,Female,19,No,Dropout
Single,Veterinary Nursing,Secondary education,Secondary education,Secondary education,Yes,No,Female,20,No,Dropout
Single,Nursing,Secondary education,Higher education - degree,Higher education - master's degree,Yes,No,Female,20,No,Dropout
Single,Social Service,Secondary education,Basic education 1st cycle,Basic education 1st cycle,Yes,No,Female,18,No,Graduate
Single,Veterinary Nursing,Secondary education,Basic education 3rd cycle,Basic education 3rd cycle,Yes,No,Female,19,No,Graduate
Single,Journalism and Communication,Secondary education,Secondary education,Basic education 2nd cycle,Yes,No,Female,18,No,Graduate
Single,Nursing,Secondary education,Basic education 1st cycle,Basic education 1st cycle,Yes,No,Female,18,No,Dropout
Single,Veterinary Nursing,Secondary education,Basic education 1st cycle,Basic education 2nd cycle,No,No,Female,18,No,Graduate
Single,Management,Secondary education,Higher education - bachelor's degree,Basic education 3rd cycle,No,No,Female,18,No,Graduate
Single,Tourism,Secondary education,Secondary education,Secondary education,Yes,No,Female,21,No,Dropout
Single,Management,Secondary education,Basic education 3rd cycle,Basic education 3rd cycle,Yes,No,Female,19,No,Graduate
Single,Animation and Multimedia Design,Secondary education,Higher education - degree,Basic education 3rd cycle,No,No,Female,19,No,Dropout
Single,Advertising and Marketing Management,Secondary education,Basic education 2nd cycle,Basic education 2nd cycle,No,No,Female,19,No,Graduate
Single,Veterinary Nursing,Secondary education,Basic education 3rd cycle,Basic education 2nd cycle,Yes,No,Female,19,No,Graduate
Single,Oral Hygiene,Secondary education,Secondary education,Secondary education,Yes,No,Female,19,No,Dropout
Single,Veterinary Nursing,Technological specialization course,Basic education 1st cycle,Basic education 1st cycle,Yes,No,Female,20,No,Graduate
Single,Social Service,Secondary education,Secondary education,Technological specialization course,Yes,No,Female,18,No,Graduate
Single,Nursing,Secondary education,Secondary education,Basic education 1st cycle,Yes,No,Female,19,No,Graduate
Single,Nursing,Secondary education,Basic education 3rd cycle,Basic education 3rd cycle,Yes,No,Female,18,No,Dropout
Single,Communication Design,Secondary education,Basic education 1st cycle,Basic education 1st cycle,Yes,No,Female,18,No,Graduate
Single,Management,Secondary education,Secondary education,Basic education 3rd cycle,Yes,No,Female,19,No,Graduate
Single,Nursing,Secondary education,Secondary education,Basic education 3rd cycle,Yes,No,Female,19,No,Dropout
Single,Social Service,Secondary education,Basic education 2nd cycle,Basic education 1st cycle,No,No,Female,20,No,Graduate
Single,Advertising and Marketing Management,Secondary education,Secondary education,Basic education 2nd cycle,No,No,Female,19,No,Dropout
Single,Advertising and Marketing Management,Secondary education,Basic education 3rd cycle,Basic education 3rd cycle,Yes,No,Female,20,No,Graduate
Single,Journalism and Communication,Secondary education,Secondary education,Secondary education,No,No,Female,18,No,Graduate
Single,Nursing,Secondary education,Basic education 3rd cycle,Secondary education,No,No,Female,18,No,Graduate
Single,Nursing,Secondary education,Basic education 1st cycle,Basic education 1st cycle,Yes,No,Female,19,No,Graduate
Single,Journalism and Communication,Secondary education,Basic education 3rd cycle,Secondary education,Yes,No,Female,19,No,Graduate
Single,Social Service,Secondary education,Secondary education,Other 11th year schooling,Yes,No,Female,19,No,Graduate
Single,Nursing,Secondary education,Basic education 3rd cycle,Basic education 3rd cycle,Yes,No,Female,19,No,Graduate
Single,Basic Education,Secondary education,Basic education 1st cycle,Basic education 2nd cycle,Yes,No,Female,19,No,Graduate
Single,Tourism,Secondary education,Other 11th year schooling,Basic education 3rd cycle,Yes,No,Female,19,No,Dropout
Single,Tourism,Secondary education,Secondary education,Basic education 1st cycle,Yes,No,Female,20,No,Dropout
Single,Management,Secondary education,Higher education - degree,Basic education 3rd cycle,No,No,Female,18,No,Graduate
Single,Nursing,Secondary education,Secondary education,Basic education 3rd cycle,No,No,Female,20,No,Graduate
Single,Veterinary Nursing,Secondary education,Secondary education,Basic education 2nd cycle,No,No,Female,19,No,Graduate
Single,Basic Education,Secondary education,Basic education 1st cycle,Basic education 1st cycle,Yes,No,Female,18,No,Graduate
Single,Basic Education,Secondary education,Higher education - degree,Basic education 1st cycle,Yes,No,Female,21,No,Dropout
Single,Basic Education,Secondary education,Basic education 2nd cycle,Basic education 1st cycle,No,No,Female,19,No,Dropout
Single,Management,Secondary education,Basic education 2nd cycle,Basic education 2nd cycle,No,No,Female,18,No,Graduate
Single,Social Service,Secondary education,Secondary education,Basic education 1st cycle,Yes,No,Female,18,No,Graduate
Single,Social Service,Secondary education,Basic education 3rd cycle,Secondary education,Yes,No,Female,20,No,Graduate
Single,Social Service Evening Program,Secondary education,Secondary education,Basic education 3rd cycle,No,No,Female,24,No,Graduate
Single,Advertising and Marketing Management,Secondary education,Basic education 3rd cycle,Secondary education,No,No,Female,19,No,Dropout
Single,Nursing,Secondary education,Basic education 3rd cycle,Basic education 1st cycle,Yes,No,Female,18,No,Graduate
Single,Nursing,Secondary education,Basic education 3rd cycle,Basic education 3rd cycle,Yes,No,Female,18,No,Graduate
Single,Basic Education,Secondary education,Other 11th year schooling,Other 11th year schooling,Yes,No,Female,21,No,Dropout
Single,Advertising and Marketing Management,Secondary education,Secondary education,Basic education 3rd cycle,No,No,Female,19,No,Graduate
Single,Journalism and Communication,Secondary education,Basic education 3rd cycle,Basic education 1st cycle,No,No,Female,19,No,Graduate
Single,Social Service,Secondary education,Basic education 3rd cycle,Basic education 3rd cycle,No,No,Female,19,No,Graduate
Single,Nursing,Higher education - degree,Higher education - bachelor's degree,Higher education - bachelor's degree,No,No,Female,29,No,Graduate
Single,Social Service,Secondary education,Basic education 3rd cycle,Basic education 3rd cycle,Yes,No,Female,21,No,Dropout
Single,Oral Hygiene,Secondary education,Basic education 1st cycle,Basic education 1st cycle,No,No,Female,20,No,Graduate
Single,Nursing,Secondary education,Higher education - bachelor's degree,Basic education 2nd cycle,Yes,No,Female,19,No,Graduate
Single,Social Service Evening Program,Secondary education,Basic education 3rd cycle,Higher education - bachelor's degree,No,No,Female,26,No,Graduate
Single,Tourism,Secondary education,Basic education 1st cycle,Basic education 1st cycle,Yes,No,Female,20,No,Dropout
Single,Basic Education,Secondary education,Basic education 1st cycle,Basic education 3rd cycle,No,No,Female,27,No,Graduate
Single,Nursing,Secondary education,Unknown education level,Unknown education level,Yes,No,Female,20,No,Dropout
Single,Basic Education,Secondary education,Basic education 1st cycle,Basic education 3rd cycle,Yes,No,Female,18,No,Dropout
Single,Nursing,Higher education - degree,Secondary education,Secondary education,No,No,Female,33,No,Dropout
Single,Basic Education,Secondary education,Higher education - degree,Secondary education,Yes,No,Female,35,No,Graduate
Single,Journalism and Communication,Basic education 3rd cycle,Basic education 3rd cycle,Basic education 3rd cycle,No,No,Female,27,No,Dropout
Single,Communication Design,Secondary education,Secondary education,Basic education 1st cycle,Yes,No,Female,19,No,Dropout
Single,Tourism,Secondary education,Secondary education,Basic education 3rd cycle,No,No,Female,20,No,Dropout
Single,Management,Secondary education,Higher education - degree,Higher education - degree,Yes,No,Female,20,No,Dropout
Single,Nursing,Secondary education,Basic education 2nd cycle,Secondary education,Yes,No,Female,18,No,Graduate
Single,Veterinary Nursing,Secondary education,Secondary education,Basic education 3rd cycle,Yes,No,Female,24,No,Dropout
