Marital status,Course,Previous qualification,Mother's qualification,Father's qualification,Displaced,Educational special needs,Gender,Age at enrollment,International,Target
1,2,1,13,10,1,0,1,20,0,1
1,11,1,1,3,1,0,1,19,0,0
1,5,1,22,27,1,0,1,19,0,1
1,15,1,23,27,1,0,0,20,0,0
2,3,1,22,28,0,0,0,45,0,0
2,17,12,22,27,0,0,1,50,0,0
1,12,1,13,28,1,0,0,18,0,0
1,11,1,22,27,1,0,1,22,0,1
1,10,1,1,1,0,0,0,21,1,0
1,10,1,1,14,1,0,0,18,0,1
1,14,1,23,14,1,0,0,18,0,0
1,12,1,13,28,1,0,0,18,0,0
1,16,1,13,27,1,0,0,19,0,1
1,11,16,1,1,1,0,0,21,0,0
1,6,1,23,27,1,0,0,18,0,0
1,15,1,13,27,1,0,0,20,0,1
1,12,1,13,1,1,0,0,18,0,0
1,8,1,3,14,1,0,0,20,0,0
1,2,1,1,1,0,0,0,21,0,0
1,12,1,13,14,1,0,0,18,0,0
1,14,1,1,28,1,0,0,19,0,0
1,12,1,13,14,0,0,0,19,0,0
1,10,1,13,28,1,0,0,21,0,0
1,9,1,13,1,1,0,0,20,0,0
1,5,1,27,3,1,0,1,20,0,0
1,3,1,13,1,1,0,0,19,0,0
1,17,1,2,27,0,0,1,34,0,0
1,1,1,23,27,0,0,1,37,0,1
1,7,8,19,27,1,0,1,43,0,1
1,9,1,22,27,0,0,0,55,0,1
4,17,1,13,14,1,0,0,39,0,0
1,8,14,4,4,0,0,0,20,1,1
1,15,1,3,3,0,0,0,18,0,1
1,9,1,3,14,1,0,0,22,0,0
1,12,1,1,3,1,1,0,22,0,0
1,15,1,1,28,0,0,0,20,0,1
1,17,1,22,27,0,0,0,29,0,1
1,10,1,13,14,1,0,0,18,0,0
1,12,1,22,14,1,0,0,22,0,0
1,3,14,1,14,0,0,0,21,0,0
1,10,1,22,28,0,0,0,19,0,0
1,11,1,13,28,0,0,0,24,0,0
1,8,1,22,27,0,0,0,19,0,0
1,17,1,23,28,0,0,0,27,0,1
1,12,1,1,14,1,0,0,18,0,0
2,11,3,1,3,0,0,0,39,0,1
1,8,15,3,3,1,0,0,27,0,1
1,12,1,23,28,1,0,0,18,0,0
1,12,1,13,14,0,0,0,18,0,0
1,10,14,13,1,0,0,0,21,0,0
4,12,12,1,1,1,0,1,29,0,1
1,2,1,13,14,1,0,1,19,0,0
1,4,14,13,27,1,0,1,23,0,0
1,9,1,1,28,0,0,1,19,0,1
1,12,1,22,14,0,0,1,24,0,0
1,2,1,13,14,1,0,1,19,0,1
1,11,1,23,27,1,0,1,18,0,1
1,15,1,23,28,1,0,1,18,0,0
1,9,1,13,14,1,0,1,18,0,1
1,11,1,13,27,1,0,1,21,0,1
1,15,1,1,14,1,0,1,19,0,0
1,12,1,23,27,0,0,1,22,0,0
2,3,1,22,27,0,0,1,33,0,0
1,16,1,13,14,1,0,1,20,0,1
1,17,2,3,3,1,0,1,35,0,1
1,4,4,3,3,0,0,1,24,0,1
2,3,1,22,27,1,0,0,33,0,0
1,12,1,22,28,1,0,0,22,0,0
1,14,1,1,14,0,0,0,25,0,0
1,5,1,13,28,1,0,1,20,0,0
1,12,1,1,1,0,0,1,24,0,1
1,15,1,13,1,1,0,0,21,1,0
1,8,1,1,1,0,0,0,26,1,1
2,16,8,22,24,0,0,0,39,0,1
2,3,1,22,14,0,0,0,44,0,0
