feature,importance
Gender,0.1868316903754068
Course_12,0.15225139949729757
Age at enrollment,0.14631960446109893
Course_7,0.06368079844983035
Course_10,0.04881977903517769
Mother's qualification,0.04129754810914373
Course_16,0.03879860030969096
Course_17,0.03352020347745475
Previous qualification_12,0.032426813287838134
Father's qualification,0.030831438156983026
Displaced,0.026677244971626556
Course_5,0.023331059338583187
Previous qualification_3,0.019984918823947033
Course_8,0.015860120609753208
Marital status_2,0.015548453216985132
Course_3,0.015403736061114181
Course_15,0.013964086912275069
Course_2,0.012523913927717525
Course_9,0.012066251603929008
Course_6,0.011950119364465456
Course_11,0.008875625191520294
Marital status_4,0.007203295079175238
Previous qualification_16,0.006833786051828829
Course_4,0.0063539833897507956
Previous qualification_14,0.005390260618960288
Course_13,0.004574450474688534
International,0.0045591526146332335
Course_14,0.004456662794754253
Previous qualification_15,0.0026120288575567055
Previous qualification_9,0.0022652079942450396
Previous qualification_7,0.0014270468222035895
Previous qualification_2,0.001194214392790352
Educational special needs,0.000918848559364715
Marital status_5,0.0008994283163319029
Previous qualification_6,0.0002290097374239668
Previous qualification_4,6.280844436051163e-05
Previous qualification_17,4.328819741458669e-05
Previous qualification_13,1.312247267887987e-05
Marital status_3,0.0
Marital status_6,0.0
Previous qualification_11,0.0
Previous qualification_5,0.0
Previous qualification_8,0.0
