feature,importance
Age at enrollment,0.27489182363366765
Mother's qualification,0.12157649276294952
Father's qualification,0.1154386351880341
Gender,0.1119031387139466
Course_12,0.08695057125085227
Course_7,0.038278487923004104
Course_10,0.02772031880728296
Course_16,0.025735021276510214
Displaced,0.022951843917458463
Course_3,0.015293506639648822
Course_17,0.01441575710885608
Previous qualification_12,0.014065735176667635
Course_5,0.01381610159042393
Marital status_2,0.011604386631571605
Course_9,0.01091029085996912
Course_2,0.010906530057966818
Course_15,0.010523206439493832
Course_8,0.009879279605417271
Course_11,0.009723087104830243
Course_6,0.00939887891620058
Previous qualification_3,0.00815137073273945
Course_4,0.005678304200703592
Course_14,0.0055025869114777425
Previous qualification_14,0.004328906337919216
Marital status_4,0.004159021744615775
Course_13,0.0037140736278997483
International,0.0035699674466700927
Previous qualification_16,0.0028323871813442873
Previous qualification_15,0.001697714065425604
Previous qualification_9,0.0013789852054202363
Marital status_5,0.0008441481048792534
Previous qualification_2,0.0007489820471197911
Educational special needs,0.0007418624083360113
Previous qualification_7,0.0004583034284354265
Previous qualification_4,9.187670372447428e-05
Previous qualification_6,6.814801197318289e-05
Previous qualification_17,4.119730496184478e-05
Previous qualification_13,9.070931602318039e-06
Marital status_3,0.0
Marital status_6,0.0
Previous qualification_11,0.0
Previous qualification_5,0.0
Previous qualification_8,0.0
