feature,importance_mean,importance_std
Course,0.10162956253189848,0.017126500904273593
Age at enrollment,0.06395416465563443,0.009293824355141688
Gender,0.042913859161817926,0.014243217454522618
Father's qualification,0.014130878082526988,0.01046142817483307
Previous qualification,0.01155866355638976,0.008448915288789613
Mother's qualification,0.00480757403899198,0.010880055341075095
Displaced,0.0030071382945264123,0.0016973150096707035
International,0.002810527445099875,0.0025414479677521567
Educational special needs,0.0006909230755243967,0.0026992026328458954
Marital status,-0.022900742799916517,0.005295624928768957
